id,catalogue_page_title,catalogue_name,permutation_summary,ordering_code,product_type,product_description,stauff_groups,din_groups,thread_code,thread,size_d1,modifier,material_code,material_description,notes,imported_at
38,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAL-6S-W5,DPAL,Cover Plate for Single Clamps,6S,4,—,—,—,—,W5,"Stainless Steel V4A (1.4401/1.4571, AISI 316/316 Ti)",,2026-06-01T13:54:04.983780+00:00
39,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAS-6S-W1,DPAS,Cover Plate for Double Clamps,6S,4,—,—,—,—,W1,"Carbon Steel, uncoated",,2026-06-01T13:54:04.983780+00:00
40,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAS-6S-W2,DPAS,Cover Plate for Double Clamps,6S,4,—,—,—,—,W2,"Carbon Steel, phosphated",,2026-06-01T13:54:04.983780+00:00
41,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAS-6S-W3,DPAS,Cover Plate for Double Clamps,6S,4,—,—,—,—,W3,"Carbon Steel, zinc/nickel-plated",,2026-06-01T13:54:04.983780+00:00
42,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAS-6S-W4,DPAS,Cover Plate for Double Clamps,6S,4,—,—,—,—,W4,"Stainless Steel V2A (1.4301/1.4305, AISI 304/303)",,2026-06-01T13:54:04.983780+00:00
43,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAS-6S-W5,DPAS,Cover Plate for Double Clamps,6S,4,—,—,—,—,W5,"Stainless Steel V4A (1.4401/1.4571, AISI 316/316 Ti)",,2026-06-01T13:54:04.983780+00:00
44,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAL-7S-W1,DPAL,Cover Plate for Single Clamps,7S,5,—,—,—,—,W1,"Carbon Steel, uncoated",,2026-06-01T13:54:04.983780+00:00
45,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAL-7S-W2,DPAL,Cover Plate for Single Clamps,7S,5,—,—,—,—,W2,"Carbon Steel, phosphated",,2026-06-01T13:54:04.983780+00:00
46,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAL-7S-W3,DPAL,Cover Plate for Single Clamps,7S,5,—,—,—,—,W3,"Carbon Steel, zinc/nickel-plated",,2026-06-01T13:54:04.983780+00:00
47,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAL-7S-W4,DPAL,Cover Plate for Single Clamps,7S,5,—,—,—,—,W4,"Stainless Steel V2A (1.4301/1.4305, AISI 304/303)",,2026-06-01T13:54:04.983780+00:00
48,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAL-7S-W5,DPAL,Cover Plate for Single Clamps,7S,5,—,—,—,—,W5,"Stainless Steel V4A (1.4401/1.4571, AISI 316/316 Ti)",,2026-06-01T13:54:04.983780+00:00
49,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAS-7S-W1,DPAS,Cover Plate for Double Clamps,7S,5,—,—,—,—,W1,"Carbon Steel, uncoated",,2026-06-01T13:54:04.983780+00:00
